지점,일시,기온(°C),풍속(m/s),습도(%)
112,2019-05-26 01:00,21,2.1,63
112,2019-05-26 02:00,20.6,.4,62
112,2019-05-26 03:00,20.2,.8,64
112,2019-05-26 04:00,19.8,1.1,66
112,2019-05-26 05:00,19.7,1.3,68
112,2019-05-26 06:00,19.4,1.7,72
112,2019-05-26 07:00,20.4,1.4,64
112,2019-05-26 08:00,22.7,2,54
112,2019-05-26 09:00,24.6,3.2,46
112,2019-05-26 10:00,25.7,2,43
112,2019-05-26 11:00,26.8,3,39
112,2019-05-26 12:00,26.8,2.6,35
112,2019-05-26 13:00,26.9,3.5,36
112,2019-05-26 14:00,26.2,3.6,38
112,2019-05-26 15:00,26.1,3.5,33
112,2019-05-26 16:00,26.1,2.4,31
112,2019-05-26 17:00,25.3,3.8,34
112,2019-05-26 18:00,23.9,3.7,41
112,2019-05-26 19:00,22.2,3.1,54
112,2019-05-26 20:00,21.7,1.9,50
112,2019-05-26 21:00,22,2.1,46
112,2019-05-26 22:00,22.1,2.6,49
112,2019-05-26 23:00,22,2.5,50
112,2019-05-27 00:00,22.2,4.6,52
